# YTID, start_seconds, end_seconds, positive_labels
-RAdrtCW1hI,70.0,80.0," ""/m/032s66;/m/073cg4"""
-RPKtQIGBOY,30.0,40.0," ""/m/03cczk"""
-RZ01HFrafg,6.0,16.0," ""/m/07qs1cx"""
-Rl7NZwtVmA,40.0,50.0," ""/m/05_wcq"""
-RsGz8XRZUM,30.0,40.0," ""/m/07pdhp0;/m/07pzfmf;/m/07s12q4"""
-SD9DkKyOrY,30.0,40.0," ""/m/01qbl;/m/026t6;/m/02hnl;/m/03qtq;/m/03t3fj;/m/06rvn;/m/0bm02;/m/0l14md"""
-Sclnq22t7o,30.0,40.0," ""/m/03q5_w"""
-TJe1_ECCwM,6.0,16.0," ""/m/07pws3f"""
-TNmWwhsnzs,30.0,40.0," ""/m/07qv4k0"""
-TpdnwhYCvk,30.0,40.0," ""/m/07qsvvw"""
-UNPp3fEWSE,0.0,10.0," ""/m/01d380;/m/07k1x;/m/0_ksk"""
-Ub8LKPkhos,60.0,70.0," ""/m/06xkwv"""
-UbFLKplzbE,30.0,40.0," ""/m/01j4z9"""
-UcfsxiD_ns,340.0,350.0," ""/m/0llzx"""
-UfqtS1lsRY,30.0,40.0," ""/m/01bns_;/m/0d8_n"""
-Uw2HHni78U,80.0,90.0," ""/m/0jb2l;/m/0ngt1"""
-VI2IRq17rs,360.0,370.0," ""/m/0395lw"""
-VZZ_IzaG7A,350.0,360.0," ""/m/07phxs1"""
-X14yAhC-SE,30.0,40.0," ""/m/07qs1cx"""
-X5Ay0Wuew0,20.0,30.0," ""/m/0dl83"""
-XAxN0GUsLs,270.0,280.0," ""/m/03vt0;/m/09f96;/m/0h2mp"""
-XVgCqsHi3g,30.0,40.0," ""/m/02mk9;/m/04229;/m/07pb8fc;/m/07yv9;/t/dd00067"""
-XkbErI_7EU,50.0,60.0," ""/m/01kcd;/m/0319l"""
-Y1qiiugnk8,30.0,40.0," ""/m/012n7d;/m/03j1ly;/m/03kmc9"""
-Y3kEZ8li-A,30.0,40.0," ""/m/07rbp7_"""
-YATTKBtmRA,190.0,200.0," ""/m/01s0ps;/m/05148p4;/m/05r5c"""
-YGmAv-5bYk,30.0,40.0," ""/m/01sm1g;/m/0l14md"""
-YZRsLrmqEA,0.0,10.0," ""/m/07pzfmf"""
-Ypg2o4TqXM,30.0,40.0," ""/m/07r4wb8"""
-YxGyNHMasQ,240.0,250.0," ""/m/0130jx;/m/02jz0l;/m/0838f"""
-Ze_xQhxKRo,30.0,40.0," ""/m/0j2kx"""
-ZjxFZOaY50,30.0,40.0," ""/m/025rv6n;/m/07qwf61;/m/0dbvp"""
-_Hpy806bks,180.0,190.0," ""/m/023pjk;/m/04brg2"""
-_dElQcyJnA,30.0,40.0," ""/m/012n7d;/m/03j1ly;/m/03kmc9;/m/04qvtq"""
-aC8TJIZrtE,20.0,30.0," ""/m/015p6;/m/020bb7;/m/025rv6n;/m/07qn5dc;/m/07st89h;/m/09b5t"""
-b_10b-orX4,50.0,60.0," ""/m/02_41"""
-buXkpFmCWY,210.0,220.0," ""/m/0mbct"""
-bxDQSLTdEs,30.0,40.0," ""/m/07qwyj0"""
-cQV8iXK3pQ,0.0,10.0," ""/m/032s66;/m/0_1c"""
-cUFMQCB2dA,270.0,280.0," ""/m/0239kh"""
-cWrzrfVdMQ,250.0,260.0," ""/m/032s66;/m/073cg4"""
-d6ytV5GfH4,30.0,40.0," ""/m/07yv9;/m/09ct_"""
-d7CDTWso5c,120.0,130.0," ""/m/027m70_"""
-dYTGqyVFNM,260.0,270.0," ""/m/07plct2"""
-dfDSA5oB60,220.0,230.0," ""/m/015jpf;/m/0c1dj"""
-f6exYXS1Gk,110.0,120.0," ""/m/07qjznt"""
-fIQkUYrSz4,0.0,10.0," ""/m/07pxg6y"""
-fOCJllN4iE,0.0,10.0," ""/m/07ryjzk"""
-fURq3jhY1Y,0.0,10.0," ""/m/0dl9sf8"""
-fhW5GMgcI4,12.0,22.0," ""/m/07sx8x_"""
-fwZGpmJNhw,40.0,50.0," ""/m/019jd;/m/034srq;/m/03m9d0z;/m/05kq4;/m/06q74;/t/dd00092"""
-g50tCLEsVM,40.0,50.0," ""/m/078jl;/m/07rjwbb"""
-gKNRXbpAKs,30.0,40.0," ""/m/012n7d;/m/03j1ly;/m/03kmc9;/m/0dgbq"""
-gQg8z0ylFU,20.0,30.0," ""/m/078jl;/m/07rjwbb"""
-gWZyuEchB8,30.0,40.0," ""/m/024dl"""
-giyfFI9pko,90.0,100.0," ""/m/0164x2"""
-gkrE5zQ8EY,150.0,160.0," ""/m/07phxs1;/m/07rv4dm"""
-hsT6SyyhsM,18.0,28.0," ""/m/01v_m0;/m/0hdsk"""
-i-9C48tduw,500.0,510.0," ""/m/06mb1;/m/07r10fb;/m/0jb2l;/m/0ngt1"""
-ihTfc5Kx8s,17.0,27.0," ""/m/07ptzwd"""
-j3aoa1bEyA,9.0,19.0," ""/m/01yrx;/m/068hy;/m/07r81j2;/m/0jbk"""
-jBWkHhQNew,30.0,40.0," ""/m/02mk9;/m/07pb8fc;/m/07q2z82;/m/07yv9;/m/0k4j;/t/dd00066;/t/dd00130"""
-jMyzNbR7WM,10.0,20.0," ""/t/dd00134"""
-k009MXpfdo,10.0,20.0," ""/m/04fgwm"""
-k0CHx34n0Q,30.0,40.0," ""/m/07pc8lb"""
-kBZeTTEOGc,90.0,100.0," ""/m/015p6;/m/020bb7;/m/07r_25d;/m/0h0rv"""
-kRxowDMwdQ,80.0,90.0," ""/m/01h82_;/m/02mk9;/m/04_sv;/m/07yv9"""
-kt1BF31gIY,0.0,5.0," ""/m/01yrx;/m/02yds9;/m/0jbk"""
-kyuX8l4VWY,30.0,40.0," ""/m/03qtwd;/t/dd00135"""
-lBsO-dj_A4,50.0,60.0," ""/m/05zc1;/t/dd00077"""
-mB_XLq6g1g,30.0,40.0," ""/m/01kcd;/m/07gql"""
-mQR-O53mFE,100.0,110.0," ""/m/03qtwd;/m/053hz1;/t/dd00135"""
-oSw8wNpLcY,60.0,70.0," ""/m/030rvx;/m/03kmc9"""
-oYYvzarYDs,70.0,80.0," ""/m/07rknqz;/m/07yv9;/m/0h9mv;/m/0k4j;/m/0ltv"""
-ojOx7vd_yU,540.0,550.0," ""/m/0199g;/m/07yv9"""
-oxF9jhY94s,1.0,11.0," ""/m/01yrx;/m/068hy;/m/07r81j2"""
-pBquWuzRwE,30.0,40.0," ""/m/02mk9;/m/07pb8fc;/t/dd00130"""
-qGd1JwYLbQ,30.0,40.0," ""/m/068hy;/m/07qf0zm;/m/07r_k2n;/m/07rc7d9;/m/0bt9lr;/m/0jbk"""
-qJ-NY6wY3s,30.0,40.0," ""/m/0bt9lr;/m/0ghcn6;/m/0jbk"""
-qokdAl50qg,90.0,100.0," ""/m/01h3n;/m/03vt0;/m/09f96;/m/09xqv;/m/0h2mp"""
-r1H8hBeYmw,21.0,31.0," ""/m/01yrx;/m/068hy;/m/07qrkrw;/m/07r81j2;/m/0jbk"""
-rcidFeRlmo,120.0,130.0," ""/m/025wky1"""
-reNxUHvEl0,7.0,17.0," ""/m/07r67yg"""
-s9kwrRilOY,30.0,40.0," ""/m/02rhddq;/m/07r04;/m/07yv9"""
-t1zgGxlhPM,290.0,300.0," ""/m/07hvw1;/m/07yv9;/m/0k4j;/m/0ltv"""
-tJVvrXU9MA,230.0,240.0," ""/m/09ct_;/m/0k5j"""
-tL4aWGx01s,30.0,40.0," ""/m/019jd;/m/03m9d0z;/m/0hsrw;/t/dd00092"""
-tVCMHW_Y4g,110.0,120.0," ""/m/023pjk;/m/04brg2"""
-uBbPbRML3U,290.0,300.0," ""/m/07yv9;/m/0h9mv;/m/0k4j;/m/0ltv"""
-uSlzn9oPQ4,20.0,30.0," ""/m/06mb1;/m/0jb2l;/m/0ngt1;/t/dd00038"""
-urYwYLrcMA,30.0,40.0," ""/m/01yrx;/m/068hy;/m/07r81j2;/m/0jbk"""
-uuCV1W6jYk,80.0,90.0," ""/m/0239kh"""
-v1_upmXCwI,0.0,10.0," ""/m/07phxs1;/m/07qfgpx;/m/07rv4dm"""
-v4LAt0pJXQ,30.0,40.0," ""/m/01m4t"""
-v5GfNDLH2A,330.0,340.0," ""/m/0642b4"""
-vUMGKGmNKE,50.0,60.0," ""/m/03cczk;/m/068hy"""
-w4HLksto_k,30.0,40.0," ""/m/01p970;/m/026t6;/m/0l14md"""
-wVWjl9Kq6U,240.0,250.0," ""/m/0155w"""
-wfRMEaJkRk,30.0,40.0," ""/m/012f08;/m/07rknqz;/m/07yv9;/m/0k4j"""
-wuxmTVc7kM,170.0,180.0," ""/m/02qmj0d"""
-x2aAKUtNRw,30.0,40.0," ""/m/02mk9;/m/07yv9;/m/0k4j;/t/dd00066;/t/dd00130"""
-x70B12Mb-8,30.0,40.0," ""/m/02rhddq;/m/07r04;/m/07yv9"""
-xYBYEJ_O6w,10.0,20.0," ""/m/01g50p;/m/0284vy3;/m/06d_3;/m/07jdr"""
-xyxF0ahpKk,0.0,4.0," ""/t/dd00134"""
-yJk74Vfs2s,30.0,40.0," ""/m/07pjjrj;/m/07rdhzs"""
-ysNtKG8FlU,30.0,40.0," ""/m/01yrx;/m/068hy;/m/07qrkrw;/m/0jbk"""
-z47zN0YyE4,420.0,430.0," ""/m/012ndj;/m/03j1ly;/m/03kmc9"""
-z7B966NFRE,60.0,70.0," ""/m/01jt3m;/m/0838f"""
-zA6LL78KYU,120.0,130.0," ""/m/03qjg;/m/085jw"""
-z_3aZqUmbw,120.0,130.0," ""/m/0d31p"""
-zpL4Ut1clE,30.0,40.0," ""/m/016622"""
-zxrdL6MlKI,30.0,40.0," ""/m/02rhddq;/m/07r04;/m/07yv9"""
0-DkUF7TnnI,60.0,70.0," ""/m/06mb1;/m/07r10fb"""
0-FH0xbm4gQ,580.0,590.0," ""/m/02z32qm"""
0-rNk6mnMCA,30.0,40.0," ""/m/025wky1"""
00W1lcxW-WU,40.0,50.0," ""/m/0l156k"""
00mE-lhe_R8,16.0,26.0," ""/m/07qdb04"""
01B907_Gyys,160.0,170.0," ""/m/01v_m0;/m/0hdsk"""
01PzcPKT3_E,30.0,40.0," ""/m/01kcd;/m/07c6l"""
01k1v-NgjWs,0.0,6.0," ""/m/07phxs1;/m/0dwsp;/m/0dwtp;/m/0j45pbj"""
01q8wKX4XEQ,60.0,70.0," ""/m/0dl83"""
01xpKyI0rXA,180.0,190.0," ""/m/07rknqz;/m/07yv9;/m/0k4j;/m/0ltv"""
02aq42RDm2Q,30.0,40.0," ""/m/0d31p"""
02n2I1JHq4U,8.0,18.0," ""/m/013y1f;/m/03gvt"""
02pl9PaQwmI,30.0,40.0," ""/t/dd00005"""
02rLonMSO9k,60.0,70.0," ""/m/01y3hg"""
02tl_ek8f9I,30.0,40.0," ""/m/02mk9;/m/07pb8fc;/m/07yv9;/m/0k4j"""
02z_7DUC_74,80.0,90.0," ""/m/027m70_"""
032FsMMKWqM,0.0,10.0," ""/m/07pkxdp"""
03EmZCCkf-E,24.0,34.0," ""/m/07pl1bw;/m/083vt"""
03NLMEMi8-I,30.0,40.0," ""/m/03kmc9;/m/0dgbq"""
03lAXcmqsMU,30.0,40.0," ""/m/0dl9sf8"""
04RDcHpgzTM,50.0,60.0," ""/m/07pp8cl"""
04SFLoexHDo,190.0,200.0," ""/m/01bns_;/m/0d8_n"""
04gv6MSFimA,100.0,110.0," ""/m/07pl1bw;/m/083vt"""
05H3CBB2oiI,30.0,40.0," ""/m/07qv_x_"""
05wEdbchyjM,10.0,20.0," ""/m/046dlr;/t/dd00125"""
06J19koRu_4,20.0,30.0," ""/m/05rj2"""
06OT6nqAuLM,50.0,60.0," ""/m/03p19w;/m/068hy;/m/0bt9lr;/m/0jbk;/t/dd00125"""
06PzXIqzQXM,200.0,210.0," ""/m/03l9g"""
06yVT1kiZLY,30.0,40.0," ""/m/07pyf11"""
07VlN0dItyc,30.0,40.0," ""/m/07pb8fc"""
07ZERJd7-9c,310.0,320.0," ""/m/06h7j"""
07vCFDpflcQ,80.0,90.0," ""/m/015p6;/m/09ddx"""
07yYzDPUPX8,160.0,170.0," ""/m/018w8"""
088pGlFlgb4,50.0,60.0," ""/m/07r660_"""
08U71rh7cDw,5.0,15.0," ""/m/07pjjrj;/m/07rdhzs"""
08u-jdwjM74,300.0,310.0," ""/m/0gywn"""
09TC9Yj7SHM,30.0,40.0," ""/m/07st88b;/m/09ld4"""
09_A89lHfNo,50.0,60.0," ""/m/01z47d"""
09zT8qlC384,30.0,40.0," ""/m/06mb1;/m/07r10fb;/t/dd00038"""
0AAvXso7C5c,160.0,170.0," ""/m/04zmvq"""
0ADfdHN1N2w,410.0,420.0," ""/m/0242l"""
0AGHo8V8HpM,130.0,140.0," ""/m/03q5t;/m/05148p4"""
0AHA6Zz-ykw,30.0,40.0," ""/t/dd00134"""
0AhX-ReXovI,120.0,130.0," ""/m/01p970;/m/026t6;/m/0l14md"""
0AlEfN3Ye0U,30.0,40.0," ""/m/023pjk"""
0BFauf6TGGU,0.0,10.0," ""/m/085jw;/m/0l14l2"""
0BvcQAgQ0SE,26.0,36.0," ""/m/0242l"""
0DSVOjk2NfA,30.0,40.0," ""/m/01h82_"""
0Djf1pI711g,150.0,160.0," ""/m/07plz5l"""
0E7qHzvEuyU,60.0,70.0," ""/m/07plct2"""
0Ed-5hq7AdE,30.0,40.0," ""/m/02mk9;/m/04229;/m/07yv9"""
0EkXQKzNjkg,30.0,40.0," ""/t/dd00134"""
0EsJvIfMx0w,30.0,40.0," ""/m/07pbtc8"""
0FCFuHAWpv8,280.0,290.0," ""/m/03qtwd;/m/04gy_2"""
0FHa462_1Mc,100.0,110.0," ""/m/02z32qm"""
0FMR_VBW5TU,70.0,80.0," ""/m/07qfgpx"""
0FQo-2xRJ0E,30.0,40.0," ""/m/02rhddq;/m/07yv9"""
0GmmPp502DA,30.0,40.0," ""/m/03vt0;/m/09f96;/m/0h2mp"""
0GqvQbY8ftc,130.0,140.0," ""/m/07phxs1;/m/07rv4dm"""
0H7e3F9KL78,0.0,10.0," ""/m/030rvx;/t/dd00125"""
0HDoqcA727o,30.0,40.0," ""/m/032s66;/m/0_1c"""
0HVlzmjFe7k,20.0,30.0," ""/m/04cvmfc;/m/0cdnk;/t/dd00129"""
0HqSxnJEXxA,0.0,10.0," ""/m/0gy1t2s"""
0Hz4R_m0hmI,80.0,90.0," ""/m/02mfyn"""
0IUR0a8uR5c,30.0,40.0," ""/m/07rknqz;/m/0h9mv;/m/0k4j"""
0JDlM0Wolms,0.0,10.0," ""/m/07pyy8b;/m/0jbk"""
0JKcTVpby0I,30.0,40.0," ""/m/03kmc9;/m/0dgbq"""
0JPT13OUVV8,220.0,230.0," ""/m/012ndj;/m/03j1ly;/m/03kmc9"""
0J_2K1Gvruk,30.0,40.0," ""/m/01xqw;/m/02fsn;/m/0l14_3"""
0KXc1iKGh7s,14.0,24.0," ""/m/07pbtc8"""
0KnYLPxGYf0,30.0,40.0," ""/m/07s0dtb"""
0Kwzah-Rf70,40.0,50.0," ""/m/07qdb04"""
0L3vcdzQPPU,30.0,40.0," ""/m/07kc_"""
0LEZB41K8o8,0.0,10.0," ""/m/02rtxlg"""
0LeKOO8Uzig,60.0,70.0," ""/m/02fxyj"""
0Lt4MP0-6Tc,590.0,600.0," ""/m/019jd;/m/02rlv9"""
0Ly5mdtHGzE,260.0,270.0," ""/m/01d380;/m/07k1x;/m/0_ksk"""
0ML_fBIrGqA,10.0,20.0," ""/m/0199g;/m/07yv9;/t/dd00125"""
0MWEIhf9RHU,140.0,150.0," ""/m/02x984l"""
0NTzOtVmoiU,60.0,70.0," ""/m/0192l;/m/085jw"""
0NZY0GHQBP0,240.0,250.0," ""/m/0192l;/m/085jw"""
0N_JKGLWEMc,30.0,40.0," ""/m/06xkwv;/m/07rcgpl;/m/07rgkc5"""
0NyrNJAXrIo,30.0,40.0," ""/m/01yrx;/m/068hy;/m/07qrkrw;/m/0jbk"""
0O9ZfRn69i8,30.0,40.0," ""/m/07yv9;/m/09t49;/m/0k4j"""
0OhtODbKajw,350.0,360.0," ""/m/02qmj0d;/m/07y_7;/m/0l14_3"""
0OiPtV9sd_w,30.0,40.0," ""/m/02rhddq;/m/07r04;/m/07yv9"""
0PNUMPym0I8,240.0,250.0," ""/m/07pzfmf"""
0PhU-PIsUMw,80.0,90.0," ""/m/03kmc9;/m/0dgbq"""
0QF9Nq_WG1c,10.0,20.0," ""/m/024dl"""
0QKet-tdquc,30.0,40.0," ""/m/02rhddq;/m/07yv9"""
0Qj73JaG8Ik,30.0,40.0," ""/m/06mb1;/m/07r10fb;/t/dd00038"""
0QzVs8IBn_E,30.0,40.0," ""/m/02mk9;/m/07pb8fc;/m/07q2z82;/m/07yv9;/t/dd00066"""
0R8NB5yxmMk,10.0,20.0," ""/m/03l9g"""
0RjFykTxCvc,30.0,40.0," ""/m/025rv6n;/m/07qwf61;/m/0dbvp"""
0Rqmp6q4wFk,30.0,40.0," ""/t/dd00004;/t/dd00005"""
0SRRe7FAJCI,30.0,40.0," ""/m/07yv9;/m/0gvgw0"""
0SblEOkB43I,0.0,10.0," ""/m/04fgwm"""
0SkccP8H-fQ,390.0,400.0," ""/m/01g50p;/m/04zmvq;/m/06d_3;/m/07jdr;/m/07rwm0c"""
0SuL-BgsmAs,0.0,10.0," ""/m/0gy1t2s"""
0SuuPw45rLk,22.0,32.0," ""/m/07rv4dm"""
0TUudXf0l54,30.0,40.0," ""/m/07pggtn;/m/07qmpdm"""
0UJBVLInFr0,30.0,40.0," ""/m/07pc8lb"""
0USa1NWd1XA,320.0,330.0," ""/m/023vsd;/m/07pdjhy;/m/083vt"""
0Uf9LM840vA,40.0,50.0," ""/m/0k65p"""
0Ufv6VdlPHM,30.0,40.0," ""/m/07pxg6y"""
0UiTDRQBGcM,15.0,25.0," ""/m/02dgv;/m/02y_763;/m/07rjzl8"""
0V7XP7n7ZTQ,160.0,170.0," ""/m/03v3yw"""
0VIHkdBPImc,290.0,300.0," ""/m/03wvsk"""
0VeuAMr9goQ,30.0,40.0," ""/m/07pjjrj"""
0W69ei8lbec,220.0,230.0," ""/m/0130jx;/m/02jz0l;/m/0838f"""
0WHpzy7neu0,30.0,40.0," ""/t/dd00005"""
0WXM7GSgTpE,10.0,20.0," ""/m/013y1f;/m/03gvt"""
0Wdh45yt7tY,50.0,60.0," ""/m/085jw;/m/0l14j_"""
0Wl-_a7_lGA,520.0,530.0," ""/m/0jtg0"""
0Wt_S3ZEp_I,30.0,40.0," ""/m/02rhddq;/m/07r04;/m/07yv9"""
0X-VJBUONsU,340.0,350.0," ""/m/01p970;/m/026t6;/m/0l14md"""
0XLRAeltins,550.0,560.0," ""/m/07n_g"""
0XnlJAdG5e8,30.0,40.0," ""/m/07r04;/m/07yv9;/m/0gvgw0"""
0XrVauCq9JU,30.0,40.0," ""/m/02mk9;/t/dd00066"""
0XuCucHevvE,9.0,19.0," ""/m/0c2wf"""
0Y2yEMQZFYY,40.0,50.0," ""/m/07ppn3j"""
